ID_utterance	y	t
0001	1.8161493059808167	6.886377403846156
0003	1.4029836103621949	27.627252403846157
0005	1.1411944976489534	38.013127403846156
0007	0.9890723733274899	51.35762740384616
0009	0.5807413132815918	84.23112740384616
0011	0.8877045788733112	92.62975240384615
0013	1.384812057628189	104.52412740384615
0014	1.6306067133529571	118.56550240384615
0015	1.4152431254693247	132.24000240384615
0016	1.14698270797816	137.97837740384614
0017	1.393065921413771	151.79537740384615
0018	1.043141010807746	162.61712740384615
0019	1.269750021967579	167.40312740384616
0020	1.4156062048223303	180.52725240384615
0021	1.1801684444619684	191.66062740384615
0022	1.3809097597230946	204.40862740384614
0023	1.1783659480591642	215.36512740384615
0024	1.4468531815069212	227.64975240384615
0026	1.590345284103658	249.30687740384613
0028	0.7303644784953146	256.34387740384614
0030	0.9402478405511075	267.04937740384617
0032	0.9643093505133967	277.42237740384616
0034	1.2419657408337428	289.19125240384614
0036	1.1711795805150835	296.4805024038461
0037	1.6372938969061237	307.27250240384615
0038	1.1374787901459333	315.25000240384617
0039	1.199534446818344	319.25725240384617
0040	1.8960750884425677	332.08612740384615
0041	1.297985192742764	334.19150240384613
0042	1.6727602448776362	340.62150240384614
0043	1.3574336094474235	350.6172524038461
0044	1.0200479506943518	361.03162740384613
0046	1.1324455608992396	371.8443774038461
0047	0.558272155327343	373.52550240384613
0049	0.9794285607765002	375.97012740384616
0050	1.0712034459016886	381.63125240384613
0051	1.0058670737467001	388.17600240384616
0052	1.2770754905070143	397.18500240384617
0055	1.0102523403462502	410.5706274038461
0056	1.1345944152246243	414.75550240384615
0057	1.1851048205568235	423.76712740384613
0059	1.5771517726706088	436.0921274038461
0060	1.242744308260601	446.25137740384616
0061	1.3372078100099882	452.90425240384616
0062	1.315920481965337	461.1007524038461
0063	1.3208670660601212	470.38112740384616
0064	1.2780776588381835	482.42400240384615
0066	0.6370844674411876	488.27312740384616
0067	0.9955565370542249	490.21300240384613
0069	1.892636627009186	491.92825240384616
0070	0.802642105698325	494.49887740384617
0072	1.6709034859546779	497.44600240384614
